epoch,training loss,lr,test loss
1,0.77350,3.000000e-03,0.899726
2,1.10034,2.996918e-03,0.864473
3,0.87945,2.987685e-03,0.840958
4,0.56097,2.972339e-03,0.818721
5,0.80212,2.950942e-03,0.816759
6,0.76119,2.923584e-03,0.803438
7,0.52097,2.890375e-03,0.777356
8,0.71275,2.851453e-03,0.759066
9,0.59360,2.806978e-03,0.748597
10,0.71245,2.757132e-03,0.737191
11,0.81533,2.702120e-03,0.710251
12,0.63894,2.642169e-03,0.695481
13,0.60708,2.577524e-03,0.686722
14,0.76833,2.508451e-03,0.680100
15,0.56479,2.435235e-03,0.674413
16,0.75944,2.358175e-03,0.670822
17,0.75630,2.277589e-03,0.661413
18,0.64425,2.193807e-03,0.665311
19,0.67442,2.107175e-03,0.658744
20,0.74110,2.018048e-03,0.652904
21,0.65358,1.926791e-03,0.649197
22,0.65332,1.833781e-03,0.653071
23,0.57444,1.739400e-03,0.644034
24,0.65977,1.644035e-03,0.641191
25,0.61218,1.548077e-03,0.637666
26,0.52655,1.451923e-03,0.636802
27,0.68359,1.355965e-03,0.631275
28,0.60014,1.260600e-03,0.629580
29,0.40713,1.166219e-03,0.628296
30,0.67844,1.073209e-03,0.626685
31,0.58361,9.819524e-04,0.625602
32,0.62284,8.928250e-04,0.622913
33,0.62765,8.061926e-04,0.623242
34,0.56761,7.224111e-04,0.623450
35,0.63815,6.418250e-04,0.621538
36,0.62859,5.647653e-04,0.622080
37,0.49257,4.915487e-04,0.623619
38,0.44778,4.224760e-04,0.625216
39,0.61515,3.578311e-04,0.626968
40,0.62004,3.000000e-04,0.629447
41,0.57978,3.000000e-04,0.631299
42,0.62706,3.000000e-04,0.634059
43,0.47436,3.000000e-04,0.636299
44,0.51539,3.000000e-04,0.639016
45,0.58338,3.000000e-04,0.644975
46,0.41440,3.000000e-04,0.645772
47,0.49671,3.000000e-04,0.648703
48,0.49922,3.000000e-04,0.651594
49,0.48418,3.000000e-04,0.652686
50,0.55859,3.000000e-04,0.655766
